,search_term,cnt
0,polo,133394
1,golf,124172
2,isuzu,121043
3,bmw,109099
4,toyota corolla,107486
5,toyota,99802
6,hilux,95592
7,toyota tazz,94877
8,cars,93824
9,bakkie,89243
10,opel corsa,76908
11,tazz,75791
12,toyota hilux,69001
13,nissan 1400,67386
14,mazda 323,64969
15,ford ranger,63309
16,corolla,62821
17,swop,61708
18,fridge,60122
19,tv,55583
20,rims,50215
21,damaged,47274
22,beetle,45148
23,iphone,44678
24,microbus,44552
25,golf 5,41716
26,quantum,40296
27,mazda,40016
28,fridges,39190
29,ford,38975
30,honda,38880
31,corsa,38853
32,trailer,38825
33,vw,38004
34,uno,37357
35,avanza,36761
36,nissan,36699
37,audi,35975
38,mercedes,35369
39,bantam,35019
40,mags,35016
41,ps4,33487
42,ford fiesta,33374
43,citi golf,33112
44,velocity,32832
45,vr6,32801
46,jetta,32278
47,golf 4,31456
48,opel,31432
49,durban,31317
50,golf 1,30671
51,samsung,29988
52,bmw e30,29608
53,golf 5 gti,29367
54,audi a3,29176
55,siyaya,27671
56,bmw m3,27588
57,caddy,27271
58,toyota conquest,27088
59,runx,26871
60,jeep,26610
61,tractor,26359
62,ford escort,26326
63,iphone 6,25809
64,vw polo,25726
65,caravelle,25676
66,laptop,25511
67,ford bantam,25457
68,polo playa,25455
69,car,25396
70,bakkies,25327
71,nissan sentra,25181
72,swap,25093
73,datsun,24834
74,golf 6 gti,24507
75,vw golf,23986
76,landcruiser,23762
77,randburg,23660
78,4x4,23306
79,cape town,23249
80,r20000,23194
81,vape,23094
82,yaris,23090
83,tipper,23088
84,toyota quantum,22769
85,audi a4,22750
86,tyres,22542
87,polo vivo,22337
88,caravan,22109
89,polo gti,21959
90,ford focus,21815
91,western cape,21802
92,couches,21761
93,polo classic,21522
94,land cruiser,21279
95,bmw 1 series,21007
96,e30,20929
97,opel astra,20924
98,kombi,20703
99,cortina,20353
100,non runner,20338
101,port elizabeth,20139
102,venture,19762
103,colt,19740
104,beds,19732
105,braamfontein,19720
106,turbo,19510
107,golf 3,19506
